state,E_ex,osc,nm
1,3.2727,0.015,378.8437468
2,3.2999,0.0173,375.7210612
3,3.3238,0.001,373.0194145
4,3.4895,0.0068,355.3064708
5,3.5507,0.0028,349.182395
6,3.5928,0.0111,345.0907175
7,3.6484,0.0032,339.8316879
8,3.7699,0,328.879262
9,3.8805,0.0011,319.5057158
10,3.9356,0.0309,315.0325058
11,4.1026,0.0035,302.2088261
12,4.163,0.0024,297.8241485
13,4.2353,0.0353,292.7400491
14,4.461,0.0061,277.9291482
15,4.5499,0.0017,272.4987209
16,4.5627,0.0042,271.7342648
17,4.645,0.0016,266.9196835
18,4.6618,0.0005,265.9577695
19,4.6977,0.0026,263.9253103
20,4.7323,0.0261,261.9956321
21,4.7713,0.0049,259.8541131
22,4.819,0.0009,257.2819942
23,4.8718,0.0031,254.493602
24,4.877,0.0179,254.2222534
25,4.9704,0.0076,249.445101
26,5.0042,0.0592,247.7602674
27,5.0336,0.0158,246.3131616
28,5.065,0.0018,244.7861658
29,5.0931,0.0058,243.4356149
30,5.118,0.0008,242.2512564
31,5.1636,0.0014,240.1119239
32,5.1792,0.0275,239.3886952
33,5.2143,0.0029,237.7772529
34,5.2449,0.0215,236.3900036
35,5.2635,0.0026,235.5546556
36,5.2733,0.0004,235.1168964
37,5.3132,0.0026,233.3512629
38,5.3212,0.0024,233.0004379
39,5.3408,0.0002,232.1453584
40,5.3458,0.0113,231.9282296
41,5.3666,0.0399,231.0293165
42,5.4076,0.0344,229.2776703
43,5.4628,0.0013,226.9608864
44,5.4701,0.0231,226.6580008
45,5.4912,0.0008,225.7870648
46,5.5251,0.0133,224.4017176
47,5.5422,0.0048,223.7093447
48,5.584,0.0026,222.0347296
49,5.5933,0.0146,221.6655516
50,5.6455,0.0124,219.6159649
51,5.6478,0.0062,219.5265289
52,5.6811,0.028,218.2397652
53,5.7024,0.0099,217.4245809
54,5.7122,0.044,217.0515616
55,5.7414,0.0011,215.9476661
56,5.7543,0.0324,215.4635542
57,5.7605,0.0039,215.2316518
58,5.7944,0.0456,213.9724441
59,5.8102,0.0006,213.3905769
60,5.8431,0.0022,212.1890657
61,5.8623,0.0054,211.4941115
62,5.8681,0.0108,211.2850718
63,5.8787,0.0136,210.9040995
64,5.8882,0.0019,210.5638277
65,5.8988,0.0706,210.1854496
66,5.9061,0.0099,209.9256582
67,5.9075,0.0112,209.8759086
68,5.923,0.0057,209.3266807
69,5.9473,0.0036,208.4713954
70,5.9524,0.0006,208.2927777
71,5.9765,0.0044,207.4528453
72,5.9981,0.0029,206.7057785
73,6.0523,0.0018,204.8546718
74,6.0585,0.0047,204.6450326
75,6.0869,0.0016,203.6902085
76,6.0886,0.0109,203.6333361
77,6.1124,0.0135,202.840444
78,6.1182,0.0019,202.6481531
79,6.146,0.0096,201.7315213
80,6.1653,0.0042,201.1000162
81,6.1825,0.0045,200.5405467
82,6.209,0.0014,199.68464
83,6.2229,0.0057,199.2386074
84,6.2418,0.0137,198.6353183
85,6.2537,0.0108,198.2573405
86,6.2736,0.0016,197.6284637
87,6.282,0.0044,197.3642041
88,6.3159,0.002,196.3048702
89,6.3181,0.0011,196.2365157
90,6.3416,0.0074,195.5093241
91,6.3478,0.008,195.318367
92,6.3596,0.0058,194.9559611
93,6.3861,0.0001,194.1469645
94,6.4141,0.01,193.2994387
95,6.4318,0.0031,192.7674881
96,6.4377,0.0065,192.5908213
97,6.4762,0.0023,191.4458988
98,6.4816,0.0109,191.2864
99,6.4893,0.0067,191.0594255
100,6.502,0.0176,190.6862396
